motif,oxidation,barrier,renewal,copper_yield,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
triangle,0.16,1.45,0.01,29.200331217375822,0.29200331217375824,3,127,9.032877704292304e-12,-1.8851586958135158e-13,-3.4854341635082164e-12,0.6570464719576359,0.27286441235684417,0.0588235294114892
path4,0.16,1.45,0.01,25.198805948342685,0.25198805948342684,4,679,4.878121265365582e-11,1.205924249347845e-12,4.369882233845601e-11,0.5064863118687726,0.23547189678283453,0.05882352941142305
star4,0.16,1.45,0.01,31.748382238378845,0.31748382238378847,4,740,1.7465328604412756e-10,-1.894928658430217e-12,1.7918599937161162e-10,0.25736241951515515,0.296674842456346,0.058823529411093256
square,0.16,1.45,0.01,39.949668302994034,0.39949668302994035,4,842,9.123383549873392e-11,-1.318944953254686e-13,-3.1374902675906924e-12,0.3946124539199669,0.37331229855507453,0.05882352941161839
single,0.16,1.45,0.03162277660168379,0.0,0.0,1,3,2.204374777960273e-12,2.3635607360183997e-17,0.0,0.0,0.0,0.16502618927924428
pair,0.16,1.45,0.03162277660168379,0.0,0.0,2,10,7.092395879477122e-13,7.107526373006934e-13,4.547473508864641e-13,0.7598184753470189,0.0,0.1650261892810984
path3,0.16,1.45,0.03162277660168379,13.677341355183318,0.4325155101799331,3,94,8.982852723261605e-12,-4.3653969328261155e-13,-1.2656542480726785e-11,0.5213778195812899,0.12780881435221986,0.16502618927914073
triangle,0.16,1.45,0.03162277660168379,19.659110912846945,0.6216756725846828,3,127,8.413694828439699e-12,4.0167869030938164e-13,-1.566746732351021e-12,0.6221203099406204,0.18370585274157597,0.16502618927975862
path4,0.16,1.45,0.03162277660168379,15.296851575392669,0.48372892007775714,4,679,6.553089471798171e-11,-3.5913494400574564e-12,-6.828981824469338e-11,0.5324047833097211,0.14294243394917328,0.1650261892767792
star4,0.16,1.45,0.03162277660168379,21.025490922992574,0.6648844023985245,4,740,5.977394076123764e-11,-9.779732579318079e-12,-9.485923158081278e-11,0.3340452474328702,0.1964740805233717,0.1650261892762172
square,0.16,1.45,0.03162277660168379,24.42304984954813,0.7723246493240474,4,842,8.24981456987202e-11,-1.9335644196871726e-12,-8.389822170329353e-11,0.49596569108846966,0.22822279294379572,0.16502618927775276
single,0.16,1.45,0.1,0.0,0.0,1,3,6.19313467063796e-12,-9.540979117872439e-18,-3.637978807091713e-12,0.0,0.0,0.3846153846153846
pair,0.16,1.45,0.1,0.0,0.0,2,10,1.1928507682375773e-12,-6.247433126382873e-13,-1.8189894035458565e-12,0.46881750017811624,0.0,0.38461538461418326
path3,0.16,1.45,0.1,4.0522810147341914,0.4052281014734192,3,94,2.413061488974532e-12,-4.224398608698721e-12,-5.3221871354480754e-12,0.42095333332573576,0.03786680602096258,0.3846153846122209
triangle,0.16,1.45,0.1,7.411102487545332,0.7411102487545332,3,127,3.5971658332488976e-11,1.1923795284474181e-12,-3.566968942436688e-11,0.4799377982244759,0.06925353380692512,0.38461538461630684
path4,0.16,1.45,0.1,5.114245845369593,0.5114245845369594,4,679,2.590294052343466e-11,-8.672174089952023e-12,-3.645883595027044e-11,0.42530975329763926,0.047790406115805956,0.38461538461058825
star4,0.16,1.45,0.1,8.223096772810582,0.8223096772810583,4,740,2.2896985079708981e-10,-1.1668888078020245e-11,-2.4284840804966734e-10,0.3234252822627985,0.07684126774023746,0.38461538461046507
square,0.16,1.45,0.1,8.57730874004525,0.8577308740045251,4,842,2.0753927330708375e-10,-9.128697797677887e-12,-2.2035795410602077e-10,0.44535786985654835,0.08015122471801911,0.3846153846107574
single,0.16,1.45,0.31622776601683794,0.0,0.0,1,3,4.442545476884527e-13,3.426078865054194e-17,0.0,0.0,0.0,0.6640263096412088
pair,0.16,1.45,0.31622776601683794,0.0,0.0,2,10,1.3091481719919327e-12,-3.328934350399493e-13,-1.8189894035458565e-12,0.16895666536020545,0.0,0.6640263096408592
path3,0.16,1.45,0.31622776601683794,0.5488985890949146,0.17357697459927915,3,94,1.1386546522762925e-12,-1.3231638007482616e-12,-2.369215934550084e-13,0.18131296118132523,0.005129218907191521,0.6640263096407424
triangle,0.16,1.45,0.31622776601683794,1.1267325910787171,0.3563041301751861,3,127,7.271736652702658e-12,-1.596056620201125e-12,-6.292744103575387e-13,0.22541508976367905,0.010528826679302685,0.6640263096403283
path4,0.16,1.45,0.31622776601683794,0.7468020604837989,0.23615954724356322,4,679,8.517568500512997e-11,4.862665825555723e-12,8.462530676212054e-11,0.1900113366308706,0.006978540887280867,0.6640263096423693
star4,0.16,1.45,0.31622776601683794,1.3483718307127188,0.4263926117863171,4,740,1.9879212570574023e-11,6.395106666445827e-12,2.8799851392591336e-11,0.1663581533150499,0.012599949103049695,0.6640263096425101
square,0.16,1.45,0.31622776601683794,1.3478585784335726,0.4262303071646796,4,842,7.936245572855663e-11,2.013056388250334e-12,8.057643441361506e-11,0.2184568385857797,0.012595152985813225,0.6640263096415547
single,0.16,1.45,1.0,0.0,0.0,1,3,5.865136100574339e-13,4.5536491244391186e-17,-9.094947017729282e-13,0.0,0.0,0.8620689655172414
pair,0.16,1.45,1.0,0.0,0.0,2,10,1.1523814976078046e-12,-1.0561967966893349e-12,-3.637978807091713e-12,0.03342685451215343,0.0,0.8620689655167861
path3,0.16,1.45,1.0,0.03623583654712934,0.03623583654712934,3,94,1.037938895974772e-12,2.2836732505027157e-12,2.4758528560653303e-12,0.04030091748415138,0.00033860815358539213,0.8620689655176603
